"V1";"V2";"V3";"V4"
"1";10;0,01;0,041797;0,057
"2";10;0,1;0,042313;0,056397
"3";10;10;0,042255;0,05659
"4";10;100;0,041948;0,056975
"11";20;0,01;0,046393;0,053898
"21";20;0,1;0,046581;0,053483
"31";20;10;0,04654;0,05362
"41";20;100;0,046092;0,053533
"12";30;0,01;0,047444;0,052375
"22";30;0,1;0,04752;0,052195
"32";30;10;0,047464;0,052114
"42";30;100;0,047906;0,052726
"13";40;0,01;0,04852;0,052103
"23";40;0,1;0,048493;0,051922
"33";40;10;0,048698;0,052122
"43";40;100;0,04886;0,052511
"14";50;0,01;0,048584;0,05138
"24";50;0,1;0,049068;0,051917
"34";50;10;0,04852;0,051334
"44";50;100;0,048732;0,051645
