"V1";"V2";"V3";"V4"
"1";10;0,01;0,354094;0,401087
"2";10;0,1;0,35067;0,395128
"3";10;10;0,045825;0,060613
"4";10;100;0,041964;0,05728
"11";10;0,01;0,354094;0,401087
"21";10;0,1;0,35067;0,395128
"31";10;10;0,045825;0,060613
"41";10;100;0,041964;0,05728
"12";10;0,01;0,354094;0,401087
"22";10;0,1;0,35067;0,395128
"32";10;10;0,045825;0,060613
"42";10;100;0,041964;0,05728
"13";10;0,01;0,354094;0,401087
"23";10;0,1;0,35067;0,395128
"33";10;10;0,045825;0,060613
"43";10;100;0,041964;0,05728
"14";50;0,01;0,048584;0,05138
"24";50;0,1;0,049068;0,051917
"34";50;10;0,04852;0,051334
"44";50;100;0,048732;0,051645
