"V1";"V2";"V3";"V4"
"1";10;0,01;0,293522;0,34056
"2";10;0,1;0,292302;0,337419
"3";10;10;0,045841;0,060543
"4";10;100;0,041778;0,057076
"11";10;0,01;0,293522;0,34056
"21";10;0,1;0,292302;0,337419
"31";10;10;0,045841;0,060543
"41";10;100;0,041778;0,057076
"12";10;0,01;0,293522;0,34056
"22";10;0,1;0,292302;0,337419
"32";10;10;0,045841;0,060543
"42";10;100;0,041778;0,057076
"13";10;0,01;0,293522;0,34056
"23";10;0,1;0,292302;0,337419
"33";10;10;0,045841;0,060543
"43";10;100;0,041778;0,057076
"14";50;0,01;0,048584;0,05138
"24";50;0,1;0,049068;0,051917
"34";50;10;0,04852;0,051334
"44";50;100;0,048732;0,051645
