"V1";"V2";"V3";"V4"
"1";10;0,01;0,054693;0,068786
"2";10;0,1;0,054213;0,067756
"3";10;10;0,042358;0,056396
"4";10;100;0,041778;0,056875
"11";20;0,01;0,051489;0,058651
"21";20;0,1;0,051488;0,058002
"31";20;10;0,046223;0,053179
"41";20;100;0,046174;0,053625
"12";30;0,01;0,050391;0,055032
"22";30;0,1;0,050848;0,055344
"32";30;10;0,04756;0,052214
"42";30;100;0,047872;0,052807
"13";40;0,01;0,050688;0,054212
"23";40;0,1;0,050819;0,054105
"33";40;10;0,048341;0,051861
"43";40;100;0,048475;0,052103
"14";50;0,01;0,05013;0,052928
"24";50;0,1;0,050835;0,053463
"34";50;10;0,049155;0,051881
"44";50;100;0,048499;0,051372
