"V1";"V2";"V3";"V4"
"1";10;0,01;0,260936;0,307662
"2";10;0,1;0,259718;0,304303
"3";10;10;0,045698;0,060238
"4";10;100;0,042169;0,057446
"11";10;0,01;0,260936;0,307662
"21";10;0,1;0,259718;0,304303
"31";10;10;0,045698;0,060238
"41";10;100;0,042169;0,057446
"12";10;0,01;0,260936;0,307662
"22";10;0,1;0,259718;0,304303
"32";10;10;0,045698;0,060238
"42";10;100;0,042169;0,057446
"13";10;0,01;0,260936;0,307662
"23";10;0,1;0,259718;0,304303
"33";10;10;0,045698;0,060238
"43";10;100;0,042169;0,057446
"14";10;0,01;0,260936;0,307662
"24";10;0,1;0,259718;0,304303
"34";10;10;0,045698;0,060238
"44";10;100;0,042169;0,057446
