	SDR	n1	n-ratio	Welch	Student
1	0,5	10	0,5	0,045805	0,026099
2	1	10	0,5	0,052942	0,048608
3	1,5	10	0,5	0,065147	0,086843
4	2	10	0,5	0,070343	0,122049
11	0,5	10	1	0,054687	0,058863
21	1	10	1	0,046972	0,049486
31	1,5	10	1	0,050173	0,05309
41	2	10	1	0,054861	0,058959
12	0,5	10	1,5	0,058102	0,090151
22	1	10	1,5	0,049077	0,04937
32	1,5	10	1,5	0,047738	0,03733
42	2	10	1,5	0,050116	0,033701
13	0,5	10	2	0,060005	0,117149
23	1	10	2	0,051738	0,049286
33	1,5	10	2	0,048001	0,028157
43	2	10	2	0,048781	0,021833
14	0,5	20	0,5	0,049276	0,021661
24	1	20	0,5	0,051703	0,049022
34	1,5	20	0,5	0,056978	0,086522
44	2	20	0,5	0,059348	0,116584
15	0,5	20	1	0,052833	0,055028
25	1	20	1	0,049205	0,049875
35	1,5	20	1	0,050837	0,052074
45	2	20	1	0,052271	0,054507
16	0,5	20	1,5	0,054002	0,086523
26	1	20	1,5	0,049343	0,049033
36	1,5	20	1,5	0,049561	0,036075
46	2	20	1,5	0,050065	0,030315
17	0,5	20	2	0,054595	0,113411
27	1	20	2	0,051068	0,049525
37	1,5	20	2	0,049701	0,027242
47	2	20	2	0,049663	0,018994
18	0,5	30	0,5	0,049602	0,020075
28	1	30	0,5	0,05152	0,049677
38	1,5	30	0,5	0,054338	0,085983
48	2	30	0,5	0,056812	0,11498
19	0,5	30	1	0,051823	0,053384
29	1	30	1	0,049887	0,050202
39	1,5	30	1	0,050211	0,050955
49	2	30	1	0,051296	0,052759
110	0,5	30	1,5	0,052729	0,085145
210	1	30	1,5	0,050092	0,049679
310	1,5	30	1,5	0,049683	0,035381
410	2	30	1,5	0,050727	0,029651
111	0,5	30	2	0,05316	0,112191
211	1	30	2	0,050607	0,049732
311	1,5	30	2	0,049643	0,02674
411	2	30	2	0,049832	0,018407
112	0,5	40	0,5	0,049879	0,019082
212	1	40	0,5	0,051189	0,05006
312	1,5	40	0,5	0,05372	0,086453
412	2	40	0,5	0,054203	0,112941
113	0,5	40	1	0,051423	0,052575
213	1	40	1	0,049653	0,049812
313	1,5	40	1	0,050581	0,051117
413	2	40	1	0,051124	0,052323
114	0,5	40	1,5	0,052224	0,08495
214	1	40	1,5	0,050491	0,050299
314	1,5	40	1,5	0,049949	0,0352
414	2	40	1,5	0,050695	0,029144
115	0,5	40	2	0,049994	0,080619
215	1	40	2	0,049801	0,029401
315	1,5	40	2	0,049538	0,015682
415	2	40	2	0,049775	0,011052
