V1	V2	V3	V4	V5	V6
1	0,5	10	0,5	0,055	0,029
2	1	10	0,5	0,061	0,058
3	1,5	10	0,5	0,068	0,094
4	2	10	0,5	0,072	0,127
1	0,5	10	1	0,058	0,063
2	1	10	1	0,055	0,056
3	1,5	10	1	0,056	0,059
4	2	10	1	0,058	0,062
1	0,5	10	1,5	0,060	0,093
2	1	10	1,5	0,055	0,055
3	1,5	10	1,5	0,054	0,041
4	2	10	1,5	0,054	0,036
1	0,5	10	2	0,060	0,119
2	1	10	2	0,056	0,054
3	1,5	10	2	0,054	0,032
4	2	10	2	0,054	0,023
1	0,5	20	0,5	0,054	0,023
2	1	20	0,5	0,057	0,054
3	1,5	20	0,5	0,059	0,090
4	2	20	0,5	0,061	0,119
1	0,5	20	1	0,055	0,057
2	1	20	1	0,053	0,053
3	1,5	20	1	0,053	0,055
4	2	20	1	0,055	0,057
1	0,5	20	1,5	0,055	0,088
2	1	20	1,5	0,053	0,053
3	1,5	20	1,5	0,052	0,038
4	2	20	1,5	0,053	0,032
1	0,5	20	2	0,056	0,114
2	1	20	2	0,053	0,052
3	1,5	20	2	0,052	0,029
4	2	20	2	0,052	0,020
1	0,5	30	0,5	0,053	0,021
2	1	30	0,5	0,054	0,053
3	1,5	30	0,5	0,056	0,089
4	2	30	0,5	0,057	0,115
1	0,5	30	1	0,053	0,054
2	1	30	1	0,052	0,053
3	1,5	30	1	0,053	0,053
4	2	30	1	0,053	0,055
1	0,5	30	1,5	0,053	0,086
2	1	30	1,5	0,052	0,052
3	1,5	30	1,5	0,051	0,036
4	2	30	1,5	0,052	0,030
1	0,5	30	2	0,054	0,113
2	1	30	2	0,052	0,051
3	1,5	30	2	0,051	0,028
4	2	30	2	0,052	0,019
1	0,5	40	0,5	0,053	0,020
2	1	40	0,5	0,053	0,052
3	1,5	40	0,5	0,054	0,088
4	2	40	0,5	0,055	0,114
1	0,5	40	1	0,052	0,054
2	1	40	1	0,052	0,052
3	1,5	40	1	0,052	0,053
4	2	40	1	0,052	0,053
1	0,5	40	1,5	0,053	0,085
2	1	40	1,5	0,052	0,051
3	1,5	40	1,5	0,052	0,036
4	2	40	1,5	0,052	0,030
1	0,5	40	2	0,050	0,081
2	1	40	2	0,050	0,029
3	1,5	40	2	0,050	0,016
4	2	40	2	0,050	0,011
