V1	V2	V3	V4	V5	V6
1	0,5	10	0,5	0,068	0,052
2	1	10	0,5	0,066	0,077
3	1,5	10	0,5	0,070	0,110
4	2	10	0,5	0,071	0,137
11	0,5	10	0,5	0,068	0,052
21	1	10	0,5	0,066	0,077
31	1,5	10	0,5	0,070	0,110
41	2	10	0,5	0,071	0,137
12	0,5	10	1,5	0,084	0,105
22	1	10	1,5	0,065	0,058
32	1,5	10	1,5	0,059	0,043
42	2	10	1,5	0,057	0,037
13	0,5	10	2	0,088	0,126
23	1	10	2	0,068	0,054
33	1,5	10	2	0,060	0,032
43	2	10	2	0,057	0,024
14	0,5	20	0,5	0,063	0,039
24	1	20	0,5	0,060	0,066
34	1,5	20	0,5	0,060	0,098
44	2	20	0,5	0,061	0,124
15	0,5	20	1	0,068	0,069
25	1	20	1	0,058	0,058
35	1,5	20	1	0,056	0,058
45	2	20	1	0,055	0,058
16	0,5	20	1,5	0,071	0,096
26	1	20	1,5	0,060	0,055
36	1,5	20	1,5	0,055	0,039
46	2	20	1,5	0,055	0,033
17	0,5	20	2	0,073	0,121
27	1	20	2	0,061	0,053
37	1,5	20	2	0,056	0,029
47	2	20	2	0,054	0,020
18	0,5	30	0,5	0,059	0,033
28	1	30	0,5	0,057	0,062
38	1,5	30	0,5	0,057	0,094
48	2	30	0,5	0,057	0,119
19	0,5	30	1	0,063	0,064
29	1	30	1	0,056	0,056
39	1,5	30	1	0,054	0,055
49	2	30	1	0,054	0,056
110	0,5	30	1,5	0,066	0,093
210	1	30	1,5	0,057	0,053
310	1,5	30	1,5	0,054	0,037
410	2	30	1,5	0,053	0,031
111	0,5	30	2	0,067	0,118
211	1	30	2	0,058	0,052
311	1,5	30	2	0,054	0,028
411	2	30	2	0,053	0,019
112	0,5	40	0,5	0,058	0,029
212	1	40	0,5	0,055	0,059
312	1,5	40	0,5	0,055	0,092
412	2	40	0,5	0,055	0,116
113	0,5	40	1	0,060	0,061
213	1	40	1	0,055	0,055
313	1,5	40	1	0,053	0,054
413	2	40	1	0,054	0,055
114	0,5	40	1,5	0,062	0,091
214	1	40	1,5	0,055	0,052
314	1,5	40	1,5	0,053	0,037
414	2	40	1,5	0,052	0,030
115	0,5	40	2	0,063	0,116
215	1	40	2	0,057	0,051
315	1,5	40	2	0,054	0,028
415	2	40	2	0,052	0,018
