	SDR	n1	r	welch			SDR	n1	r	welch			SDR	n1	r	welch		
1	0,01	10	1	0,099184		1	0,01	20	1	0,081238		1	0,01	30	1	0,072699		
2	0,1	10	1	0,098718		2	0,1	20	1	0,080609		2	0,1	30	1	0,072155		
3	10	10	1	0,061297		3	10	20	1	0,056486		3	10	30	1	0,053869		
4	100	10	1	0,061587		4	100	20	1	0,056153		4	100	30	1	0,054448		
1	0,01	10	2	0,099168		1	0,01	20	2	0,08145		1	0,01	30	2	0,073301		
2	0,1	10	2	0,098536		2	0,1	20	2	0,081067		2	0,1	30	2	0,072442		
3	10	10	2	0,056653		3	10	20	2	0,053361		3	10	30	2	0,052085		
4	100	10	2	0,056279		4	100	20	2	0,053442		4	100	30	2	0,052566		
1	0,01	10	3	0,099769		1	0,01	20	3	0,082097		1	0,01	30	3	0,072405		
2	0,1	10	3	0,099697		2	0,1	20	3	0,080919		2	0,1	30	3	0,072407		
3	10	10	3	0,05429		3	10	20	3	0,051982		3	10	30	3	0,051606		
4	100	10	3	0,054709		4	100	20	3	0,052237		4	100	30	3	0,051345		
1	0,01	10	4	0,099718		1	0,01	20	4	0,081248		1	0,01	30	4	0,072639		
2	0,1	10	4	0,099667		2	0,1	20	4	0,081127		2	0,1	30	4	0,07279		
3	10	10	4	0,053043		3	10	20	4	0,051575		3	10	30	4	0,051125		
4	100	10	4	0,053663		4	100	20	4	0,052137		4	100	30	4	0,05106		
1	0,01	10	5	0,099456		1	0,01	20	5	0,08121		1	0,01	30	5	0,073092		
2	0,1	10	5	0,09947		2	0,1	20	5	0,081298		2	0,1	30	5	0,072582		
3	10	10	5	0,052315		3	10	20	5	0,051636		3	10	30	5	0,051113		
4	100	10	5	0,052537		4	100	20	5	0,051534		4	100	30	5	0,050474		
																		
				0,052315						0,051534						0,050474		0,050
				0,099769						0,082097						0,073301		0,100
