"1";"2";"3";"4"
"A1";"0,35224";"0,351355";"0,045344";"0,042029"
"A2";"0,353812";"0,351548";"0,052866";"0,046738"
"A3";"0,353863";"0,35315";"0,056882";"0,047653"
"A4";"0,35299";"0,351655";"0,060378";"0,04874"
"A5";"0,35287";"0,35248";"0,063461";"0,04912"
"A6";"0,595774";"0,592976";"0,052821";"0,046717"
"A7";"0,596789";"0,594483";"0,060362";"0,048553"
"A8";"0,596415";"0,595252";"0,066679";"0,048979"
"A9";"0,596323";"0,59571";"0,072283";"0,049366"
"A10";"0,59714";"0,595297";"0,078147";"0,04971"
"A11";"0,761325";"0,758282";"0,056652";"0,04811"
"A12";"0,760387";"0,759434";"0,066662";"0,049418"
"A13";"0,760631";"0,759909";"0,075518";"0,049845"
"A14";"0,76178";"0,760723";"0,084343";"0,049671"
"A15";"0,761186";"0,76044";"0,092002";"0,049793"
