"1";"2";"3";"4"
"A1";"0,292937";"0,292424";"0,045572";"0,042089"
"A2";"0,292979";"0,292652";"0,05288";"0,046337"
"A3";"0,292869";"0,293692";"0,056637";"0,048066"
"A4";"0,293483";"0,293333";"0,060364";"0,048767"
"A5";"0,292867";"0,293027";"0,063404";"0,048902"
"A6";"0,564215";"0,561673";"0,053045";"0,046081"
"A7";"0,564818";"0,563276";"0,060239";"0,048046"
"A8";"0,564841";"0,563342";"0,066965";"0,048916"
"A9";"0,564301";"0,564065";"0,072484";"0,049576"
"A10";"0,565056";"0,563432";"0,077562";"0,049615"
"A11";"0,754569";"0,750155";"0,056592";"0,047852"
"A12";"0,753416";"0,752539";"0,066849";"0,049295"
"A13";"0,754442";"0,753445";"0,075491";"0,049832"
"A14";"0,753927";"0,753037";"0,083641";"0,049635"
"A15";"0,753812";"0,753394";"0,09192";"0,050024"
