"1";"2";"3";"4"
"A1";"0,2599";"0,260202";"0,045775";"0,042257"
"A2";"0,260625";"0,260156";"0,052679";"0,046305"
"A3";"0,260312";"0,258948";"0,056919";"0,048018"
"A4";"0,259792";"0,260457";"0,05994";"0,048605"
"A5";"0,259893";"0,259961";"0,063169";"0,048663"
"A6";"0,547428";"0,544337";"0,052692";"0,046306"
"A7";"0,548085";"0,547189";"0,060359";"0,048221"
"A8";"0,547769";"0,546586";"0,066739";"0,049262"
"A9";"0,547308";"0,547285";"0,072429";"0,049302"
"A10";"0,548396";"0,546887";"0,078088";"0,049568"
"A11";"0,750111";"0,747108";"0,057374";"0,047576"
"A12";"0,750799";"0,7482";"0,066751";"0,049093"
"A13";"0,750465";"0,749575";"0,075542";"0,049804"
"A14";"0,750595";"0,750051";"0,08378";"0,049797"
"A15";"0,750656";"0,749606";"0,092204";"0,04979"
